epoch,loss
0,1.6316419620706577
1,0.6466843673978189
2,0.5845010671651725
3,0.5484479261167121
4,0.6180333977696871
5,0.6234428524368941
6,0.5904596903107383
7,0.5803058345209469
8,0.5050730570097163
9,0.4768429399740816
10,0.47277237679621187
11,0.4640370971927739
12,0.4614972100414411
13,0.4608964139162892
14,0.4572015089218063
15,0.45532778387117867
16,0.4602453169497577
17,0.45607202992294776
18,0.4509834200444848
19,0.44950858625498685
20,0.4488697579713783
21,0.44797363434777115
22,0.44682456857026226
23,0.44678831410528436
24,0.445973605068043
25,0.4447929596058046
26,0.4440979071337767
27,0.4440480159087615
28,0.4446157923551521
29,0.4428782716845021
30,0.44383984111776253
31,0.4426540856108521
32,0.4537233380055187
33,0.44440368952775244
34,0.44521762692567074
35,0.44322843283715874
36,0.44180671386044434
37,0.44252624779638616
38,0.4434453926905237
39,0.44157498545116847
40,0.4404725684059991
41,0.44498315736500904
42,0.4420622179002473
43,0.44126775282802005
44,0.4407326719676605
45,0.44041603595921486
46,0.4395605488859042
47,0.4394952056082812
48,0.43975031309657625
49,0.4391595691141456
