epoch,loss
0,1.5103620437058536
1,0.8135081965513904
2,0.7374558535489169
3,0.658853473868033
4,0.6212068846731474
5,0.6287933654857404
6,0.6501046849621667
7,0.6102959027194014
8,0.5795478787988123
9,0.5698643514905313
10,0.5652079248669172
11,0.5576688423903301
12,0.5525417081635408
13,0.5474661121464739
14,0.5444061548721911
15,0.541872212802521
16,0.5416428088840812
17,0.5411563530413791
18,0.5389876591737824
19,0.5381090300552773
20,0.5362957110910704
21,0.5355026092493173
22,0.53425273880212
23,0.534528736724998
24,0.5335128133646165
25,0.5324397032610094
26,0.5350008157768635
27,0.53151455229581
28,0.5318016639863602
29,0.5310646635715408
30,0.5307665386886308
31,0.5298461619952712
32,0.532017700810625
33,0.5300328059930994
34,0.5301273530781871
35,0.5292092957279899
36,0.5289173284263322
37,0.5288361959084116
38,0.5327330603141978
39,0.5304670381124573
40,0.5303425522163661
41,0.528975719574726
42,0.5287562489509583
43,0.5285818796868276
44,0.5282506621847249
45,0.5282369015493779
46,0.5279931231279565
47,0.5275708950529194
48,0.5275610550184443
49,0.5289535697361436
